Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,Quarter,Weekday,Profit per Unit,Revenue per Unit,Margin Bucket
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55.0,925,508750.0,152625.0,0.3,Outlet,2020,2020-02,2020Q1,Friday,165.0,550.0,Medium
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet,2020,2020-02,2020Q1,Saturday,175.0,500.0,Medium
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425000.0,148750.0,0.35,Outlet,2020,2020-02,2020Q1,Sunday,175.0,500.0,Medium
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60.0,875,525000.0,157500.0,0.3,Outlet,2020,2020-02,2020Q1,Monday,180.0,600.0,Medium
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25,Outlet,2020,2020-03,2020Q1,Tuesday,162.5,650.0,Low
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5,Outlet,2020,2020-03,2020Q1,Wednesday,300.0,600.0,High
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000.0,165000.0,0.3,Outlet,2020,2020-03,2020Q1,Thursday,165.0,550.0,Medium
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35,Outlet,2020,2020-03,2020Q1,Friday,175.0,500.0,Medium
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet,2020,2020-03,2020Q1,Saturday,175.0,500.0,Medium
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet,2020,2020-03,2020Q1,Sunday,180.0,600.0,Medium
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65.0,1050,682500.0,170625.0,0.25,Outlet,2020,2020-03,2020Q1,Monday,162.5,650.0,Low
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60.0,1275,765000.0,382500.0,0.5,Outlet,2020,2020-03,2020Q1,Tuesday,300.0,600.0,High
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025,563750.0,169125.0,0.3,Outlet,2020,2020-03,2020Q1,Wednesday,165.0,550.0,Medium
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35,Outlet,2020,2020-03,2020Q1,Thursday,175.0,500.0,Medium
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet,2020,2020-03,2020Q1,Friday,175.0,500.0,Medium
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60.0,925,555000.0,166500.0,0.3,Outlet,2020,2020-03,2020Q1,Saturday,180.0,600.0,Medium
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65.0,1100,715000.0,178750.0,0.25,Outlet,2020,2020-03,2020Q1,Sunday,162.5,650.0,Low
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60.0,1250,750000.0,375000.0,0.5,Outlet,2020,2020-03,2020Q1,Monday,300.0,600.0,High
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55.0,1025,563750.0,169125.0,0.3,Outlet,2020,2020-03,2020Q1,Tuesday,165.0,550.0,Medium
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50.0,950,475000.0,166250.0,0.35,Outlet,2020,2020-03,2020Q1,Wednesday,175.0,500.0,Medium
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,462500.0,161875.0,0.35,Outlet,2020,2020-03,2020Q1,Tuesday,175.0,500.0,Medium
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet,2020,2020-04,2020Q2,Friday,180.0,600.0,Medium
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65.0,1075,698750.0,174688.0,0.25,Outlet,2020,2020-04,2020Q2,Saturday,162.50046511627906,650.0,Low
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60.0,1200,720000.0,360000.0,0.5,Outlet,2020,2020-04,2020Q2,Sunday,300.0,600.0,High
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000.0,165000.0,0.3,Outlet,2020,2020-04,2020Q2,Monday,165.0,550.0,Medium
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50.0,925,462500.0,161875.0,0.35,Outlet,2020,2020-04,2020Q2,Tuesday,175.0,500.0,Medium
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450000.0,157500.0,0.35,Outlet,2020,2020-04,2020Q2,Wednesday,175.0,500.0,Medium
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60.0,900,540000.0,162000.0,0.3,Outlet,2020,2020-04,2020Q2,Thursday,180.0,600.0,Medium
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65.0,1000,650000.0,162500.0,0.25,Outlet,2020,2020-04,2020Q2,Friday,162.5,650.0,Low
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3,Outlet,2020,2020-04,2020Q2,Saturday,195.0,650.0,Medium
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25,Outlet,2020,2020-04,2020Q2,Sunday,175.0,700.0,Low
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65.0,1150,747500.0,373750.0,0.5,Outlet,2020,2020-04,2020Q2,Monday,325.0,650.0,High
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55.0,975,536250.0,160875.0,0.3,Outlet,2020,2020-04,2020Q2,Tuesday,165.0,550.0,Medium
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55.0,920,506000.0,177100.0,0.35,Outlet,2020,2020-04,2020Q2,Wednesday,192.5,550.0,Medium
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000.0,173250.0,0.35,Outlet,2020,2020-04,2020Q2,Thursday,192.5,550.0,Medium
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65.0,875,568750.0,170625.0,0.3,Outlet,2020,2020-05,2020Q2,Friday,195.0,650.0,Medium
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70.0,975,682500.0,170625.0,0.25,Outlet,2020,2020-05,2020Q2,Saturday,175.0,700.0,Low
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65.0,1200,780000.0,390000.0,0.5,Outlet,2020,2020-05,2020Q2,Sunday,325.0,650.0,High
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55.0,1000,550000.0,165000.0,0.3,Outlet,2020,2020-05,2020Q2,Monday,165.0,550.0,Medium
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55.0,950,522500.0,182875.0,0.35,Outlet,2020,2020-05,2020Q2,Tuesday,192.5,550.0,Medium
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495000.0,173250.0,0.35,Outlet,2020,2020-05,2020Q2,Wednesday,192.5,550.0,Medium
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65.0,900,585000.0,175500.0,0.3,Outlet,2020,2020-05,2020Q2,Thursday,195.0,650.0,Medium
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70.0,1000,700000.0,175000.0,0.25,Outlet,2020,2020-07,2020Q3,Saturday,175.0,700.0,Low
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25.0,900,225000.0,78750.0,0.35,Outlet,2020,2020-07,2020Q3,Sunday,87.5,250.0,Medium
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315000.0,110250.0,0.35,Outlet,2020,2020-07,2020Q3,Monday,122.5,350.0,Medium
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet,2020,2020-07,2020Q3,Tuesday,122.5,350.0,Medium
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245000.0,110250.0,0.45,Outlet,2020,2020-07,2020Q3,Wednesday,157.5,350.0,High
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40.0,550,220000.0,66000.0,0.3,Outlet,2020,2020-07,2020Q3,Thursday,120.0,400.0,Medium
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet,2020,2020-07,2020Q3,Friday,175.0,350.0,High
Sports Direct,1197831,2020-07-25,South,Texas,Houston,Men's Street Footwear,25.0,850,212500.0,74375.0,0.35,Outlet,2020,2020-07,2020Q3,Saturday,87.5,250.0,Medium
Sports Direct,1197831,2020-07-26,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297500.0,104125.0,0.35,Outlet,2020,2020-07,2020Q3,Sunday,122.5,350.0,Medium
Sports Direct,1197831,2020-07-27,South,Texas,Houston,Women's Street Footwear,35.0,675,236250.0,82688.0,0.35,Outlet,2020,2020-07,2020Q3,Monday,122.50074074074074,350.0,Medium
Sports Direct,1197831,2020-07-28,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218750.0,98438.0,0.45,Outlet,2020,2020-07,2020Q3,Tuesday,157.5008,350.0,High
Sports Direct,1197831,2020-07-29,South,Texas,Houston,Men's Apparel,40.0,500,200000.0,60000.0,0.3,Outlet,2020,2020-07,2020Q3,Wednesday,120.0,400.0,Medium
Sports Direct,1197831,2020-07-30,South,Texas,Houston,Women's Apparel,35.0,700,245000.0,122500.0,0.5,Outlet,2020,2020-07,2020Q3,Thursday,175.0,350.0,High
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,30.0,875,262500.0,91875.0,0.35,Outlet,2020,2020-07,2020Q3,Friday,105.0,300.0,Medium
Sports Direct,1197831,2020-08-01,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350000.0,122500.0,0.35,Outlet,2020,2020-08,2020Q3,Saturday,140.0,400.0,Medium
Sports Direct,1197831,2020-08-02,South,Texas,Houston,Women's Street Footwear,35.0,700,245000.0,85750.0,0.35,Outlet,2020,2020-08,2020Q3,Sunday,122.5,350.0,Medium
Sports Direct,1197831,2020-08-03,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240000.0,108000.0,0.45,Outlet,2020,2020-08,2020Q3,Monday,180.0,400.0,High
Sports Direct,1197831,2020-08-04,South,Texas,Houston,Men's Apparel,45.0,500,225000.0,67500.0,0.3,Outlet,2020,2020-08,2020Q3,Tuesday,135.0,450.0,Medium
Sports Direct,1197831,2020-08-05,South,Texas,Houston,Women's Apparel,40.0,650,260000.0,130000.0,0.5,Outlet,2020,2020-08,2020Q3,Wednesday,200.0,400.0,High
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,30.0,900,270000.0,94500.0,0.35,Outlet,2020,2020-08,2020Q3,Thursday,105.0,300.0,Medium
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,40.0,900,360000.0,126000.0,0.35,Outlet,2020,2020-08,2020Q3,Friday,140.0,400.0,Medium
Sports Direct,1197831,2020-08-08,South,Texas,Houston,Women's Street Footwear,35.0,725,253750.0,88813.0,0.35,Outlet,2020,2020-08,2020Q3,Saturday,122.50068965517241,350.0,Medium
Sports Direct,1197831,2020-08-09,South,Texas,Houston,Women's Athletic Footwear,40.0,625,250000.0,112500.0,0.45,Outlet,2020,2020-08,2020Q3,Sunday,180.0,400.0,High
Walmart,1197831,2020-08-10,South,Texas,Houston,Men's Apparel,45.0,525,236250.0,70875.0,0.3,Outlet,2020,2020-08,2020Q3,Monday,135.0,450.0,Medium
Walmart,1197831,2020-08-11,South,Texas,Houston,Women's Apparel,40.0,800,320000.0,160000.0,0.5,Outlet,2020,2020-08,2020Q3,Tuesday,200.0,400.0,High
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,30.0,925,277500.0,97125.0,0.35,Outlet,2020,2020-08,2020Q3,Wednesday,105.0,300.0,Medium
Walmart,1197831,2020-08-13,South,Texas,Houston,Men's Athletic Footwear,40.0,925,370000.0,129500.0,0.35,Outlet,2020,2020-08,2020Q3,Thursday,140.0,400.0,Medium
Walmart,1197831,2020-08-14,South,Texas,Houston,Women's Street Footwear,35.0,775,271250.0,94938.0,0.35,Outlet,2020,2020-08,2020Q3,Friday,122.50064516129032,350.0,Medium
Walmart,1197831,2020-08-15,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet,2020,2020-08,2020Q3,Saturday,180.0,400.0,High
Walmart,1197831,2020-08-16,South,Texas,Houston,Men's Apparel,45.0,600,270000.0,81000.0,0.3,Outlet,2020,2020-08,2020Q3,Sunday,135.0,450.0,Medium
Walmart,1197831,2020-08-17,South,Texas,Houston,Women's Apparel,40.0,950,380000.0,190000.0,0.5,Outlet,2020,2020-08,2020Q3,Monday,200.0,400.0,High
Walmart,1197831,2020-08-18,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet,2020,2020-08,2020Q3,Tuesday,140.0,400.0,Medium
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet,2020,2020-08,2020Q3,Wednesday,157.5,450.0,Medium
Walmart,1197831,2020-08-20,South,Texas,Houston,Women's Street Footwear,40.0,800,320000.0,112000.0,0.35,Outlet,2020,2020-08,2020Q3,Thursday,140.0,400.0,Medium
Walmart,1197831,2020-08-21,South,Texas,Houston,Women's Athletic Footwear,40.0,750,300000.0,135000.0,0.45,Outlet,2020,2020-08,2020Q3,Friday,180.0,400.0,High
Walmart,1197831,2020-08-22,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet,2020,2020-08,2020Q3,Saturday,135.0,450.0,Medium
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,50.0,1000,500000.0,250000.0,0.5,Outlet,2020,2020-08,2020Q3,Sunday,250.0,500.0,High
Walmart,1197831,2020-08-24,South,Texas,Houston,Men's Street Footwear,40.0,950,380000.0,133000.0,0.35,Outlet,2020,2020-08,2020Q3,Monday,140.0,400.0,Medium
Walmart,1197831,2020-08-25,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet,2020,2020-08,2020Q3,Tuesday,157.5,450.0,Medium
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet,2020,2020-08,2020Q3,Wednesday,140.0,400.0,Medium
Walmart,1197831,2020-08-27,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280000.0,126000.0,0.45,Outlet,2020,2020-08,2020Q3,Thursday,180.0,400.0,High
Walmart,1197831,2020-08-28,South,Texas,Houston,Men's Apparel,45.0,700,315000.0,94500.0,0.3,Outlet,2020,2020-08,2020Q3,Friday,135.0,450.0,Medium
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,50.0,975,487500.0,243750.0,0.5,Outlet,2020,2020-08,2020Q3,Saturday,250.0,500.0,High
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,40.0,925,370000.0,129500.0,0.35,Outlet,2020,2020-08,2020Q3,Sunday,140.0,400.0,Medium
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,45.0,925,416250.0,145688.0,0.35,Outlet,2020,2020-08,2020Q3,Monday,157.50054054054053,450.0,Medium
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,40.0,1100,440000.0,154000.0,0.35,Outlet,2020,2020-09,2020Q3,Tuesday,140.0,400.0,Medium
Walmart,1197831,2020-09-02,South,Texas,Houston,Women's Athletic Footwear,40.0,650,260000.0,117000.0,0.45,Outlet,2020,2020-09,2020Q3,Wednesday,180.0,400.0,High
Walmart,1197831,2020-09-03,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet,2020,2020-09,2020Q3,Thursday,135.0,450.0,Medium
Walmart,1197831,2020-09-04,South,Texas,Houston,Women's Apparel,50.0,900,450000.0,225000.0,0.5,Outlet,2020,2020-09,2020Q3,Friday,250.0,500.0,High
Walmart,1197831,2020-09-05,South,Texas,Houston,Men's Street Footwear,45.0,850,382500.0,133875.0,0.35,Outlet,2020,2020-09,2020Q3,Saturday,157.5,450.0,Medium
Walmart,1197831,2020-09-06,South,Texas,Houston,Men's Athletic Footwear,45.0,850,382500.0,133875.0,0.35,Outlet,2020,2020-09,2020Q3,Sunday,157.5,450.0,Medium
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,50.0,900,450000.0,157500.0,0.35,Outlet,2020,2020-09,2020Q3,Monday,175.0,500.0,Medium
Walmart,1197831,2020-09-08,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500.0,140625.0,0.45,Outlet,2020,2020-09,2020Q3,Tuesday,225.0,500.0,High
Walmart,1197831,2020-09-09,South,Texas,Houston,Men's Apparel,45.0,625,281250.0,84375.0,0.3,Outlet,2020,2020-09,2020Q3,Wednesday,135.0,450.0,Medium
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,55.0,850,467500.0,233750.0,0.5,Outlet,2020,2020-09,2020Q3,Thursday,275.0,550.0,High
Walmart,1197831,2020-09-11,South,Texas,Houston,Men's Street Footwear,45.0,800,360000.0,126000.0,0.35,Outlet,2020,2020-09,2020Q3,Friday,157.5,450.0,Medium
Walmart,1197831,2020-09-12,South,Texas,Houston,Men's Athletic Footwear,45.0,800,360000.0,126000.0,0.35,Outlet,2020,2020-09,2020Q3,Saturday,157.5,450.0,Medium
Walmart,1197831,2020-09-13,South,Texas,Houston,Women's Street Footwear,50.0,750,375000.0,131250.0,0.35,Outlet,2020,2020-09,2020Q3,Sunday,175.0,500.0,Medium
Walmart,1197831,2020-09-14,South,Texas,Houston,Women's Athletic Footwear,50.0,600,300000.0,135000.0,0.45,Outlet,2020,2020-09,2020Q3,Monday,225.0,500.0,High
Walmart,1197831,2020-09-15,South,Texas,Houston,Men's Apparel,45.0,575,258750.0,77625.0,0.3,Outlet,2020,2020-09,2020Q3,Tuesday,135.0,450.0,Medium
Walmart,1197831,2020-09-16,South,Texas,Houston,Women's Apparel,55.0,750,412500.0,206250.0,0.5,Outlet,2020,2020-09,2020Q3,Wednesday,275.0,550.0,High
Walmart,1197831,2020-10-20,South,Texas,Houston,Men's Street Footwear,45.0,900,405000.0,141750.0,0.35,Outlet,2020,2020-10,2020Q4,Tuesday,157.5,450.0,Medium
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,45.0,900,405000.0,141750.0,0.35,Outlet,2020,2020-10,2020Q4,Wednesday,157.5,450.0,Medium
Walmart,1197831,2020-10-22,South,Texas,Houston,Women's Street Footwear,50.0,825,412500.0,144375.0,0.35,Outlet,2020,2020-10,2020Q4,Thursday,175.0,500.0,Medium
Walmart,1197831,2020-10-23,South,Texas,Houston,Women's Athletic Footwear,50.0,675,337500.0,151875.0,0.45,Outlet,2020,2020-10,2020Q4,Friday,225.0,500.0,High
Walmart,1197831,2020-10-24,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet,2020,2020-10,2020Q4,Saturday,135.0,450.0,Medium
Walmart,1197831,2020-10-25,South,Texas,Houston,Women's Apparel,55.0,850,467500.0,233750.0,0.5,Outlet,2020,2020-10,2020Q4,Sunday,275.0,550.0,High
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,45.0,950,427500.0,149625.0,0.35,Outlet,2020,2020-10,2020Q4,Monday,157.5,450.0,Medium
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427500.0,149625.0,0.35,Outlet,2020,2020-10,2020Q4,Tuesday,157.5,450.0,Medium
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,50.0,850,425000.0,148750.0,0.35,Outlet,2020,2020-10,2020Q4,Wednesday,175.0,500.0,Medium
Walmart,1197831,2020-10-29,South,Texas,Houston,Women's Athletic Footwear,50.0,700,350000.0,157500.0,0.45,Outlet,2020,2020-10,2020Q4,Thursday,225.0,500.0,High
Walmart,1197831,2020-10-30,South,Texas,Houston,Men's Apparel,45.0,650,292500.0,87750.0,0.3,Outlet,2020,2020-10,2020Q4,Friday,135.0,450.0,Medium
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,55.0,900,495000.0,247500.0,0.5,Outlet,2020,2020-10,2020Q4,Saturday,275.0,550.0,High
West Gear,1128299,2020-11-01,South,Texas,Houston,Men's Street Footwear,40.0,775,310000.0,108500.0,0.35,Outlet,2020,2020-11,2020Q4,Sunday,140.0,400.0,Medium
West Gear,1128299,2020-11-02,South,Texas,Houston,Men's Athletic Footwear,50.0,775,387500.0,77500.0,0.2,Outlet,2020,2020-11,2020Q4,Monday,100.0,500.0,Low
West Gear,1128299,2020-11-03,South,Texas,Houston,Women's Street Footwear,50.0,775,387500.0,135625.0,0.35,Outlet,2020,2020-11,2020Q4,Tuesday,175.0,500.0,Medium
West Gear,1128299,2020-11-04,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312500.0,93750.0,0.3,Outlet,2020,2020-11,2020Q4,Wednesday,150.0,500.0,Medium
West Gear,1128299,2020-11-05,West,California,San Francisco,Men's Apparel,55.0,575,316250.0,158125.0,0.5,Outlet,2020,2020-11,2020Q4,Thursday,275.0,550.0,High
West Gear,1128299,2020-11-06,West,California,San Francisco,Women's Apparel,50.0,775,387500.0,58125.0,0.15,Outlet,2020,2020-11,2020Q4,Friday,75.0,500.0,Low
West Gear,1128299,2020-11-07,West,California,San Francisco,Men's Street Footwear,40.0,825,330000.0,115500.0,0.35,Outlet,2020,2020-11,2020Q4,Saturday,140.0,400.0,Medium
